feature,imp
Z_score_p10S_Falcon_ARPEU,1.75309181
Z_score_p4S_Tortoise_NetAdds,1.759424998
Z_score_p2_Tortoise_NetAdds,1.7594562150000002
Z_score_p9S_Falcon_NetAdds_inv,1.76817179
Z_score_p8_Falcon_Opening,1.76881027
Z_score_p6S_Falcon_Gross_inv,1.7695063729999998
Z_score_p0S_Tortoise_Leavers,1.7820597779375
Z_score_p9_Falcon_Migrate,1.78529382
Z_score_p2N_Tortoise_Migrate_inv,1.7919413633333334
Z_score_p2_Falcon_Gross,1.7923445493333334
Z_score_p0N_Tortoise_Gross_inv,1.79486085525
Z_score_p6S_Falcon_Migrate,1.7960743648000002
Z_score_p6S_Tortoise_Opening_inv,1.798863231
Z_score_p10S_Falcon_Churn,1.79905653
Z_score_p7_Tortoise_ARPNU_inv,1.80859423
Z_score_p9S_Tortoise_Leavers_inv,1.81426239
Z_score_p5_Falcon_Churn,1.816498995
Z_score_p6N_Falcon_Churn,1.81691766
Z_score_p5S_Falcon_ARPNU_inv,1.82132912
Z_score_p2_Tortoise_Leavers_inv,1.82212448
Z_score_p1N_Falcon_Gross_inv,1.8264577974999998
Z_score_p6_Tortoise_ARPEU,1.82871246
Z_score_p9_Falcon_ARPEU_inv,1.82897758
Z_score_p10N_Tortoise_Gross,1.82991791
Z_score_p3N_Falcon_Migrate_inv,1.83211303
recent_ptp_Falcon_ARPEU_inv,1.83581543
Z_score_p13_Tortoise_Migrate,1.83813906
Z_score_p9S_Falcon_ARPNU,1.846763136
Z_score_p8S_Tortoise_Gross_inv,1.8491466
Z_score_p0N_Falcon_Opening,1.85206461
Z_score_p0S_Tortoise_NetAdds_inv,1.8541769124444443
Z_score_p6S_Falcon_Migrate_inv,1.86145107
Z_score_p3N_Tortoise_NetAdds,1.8620939266666667
Z_score_p10_Tortoise_Closing_inv,1.8646903
Z_score_p9_Tortoise_Opening,1.86738825
recent_min_Falcon_ARPEU,1.87020928475
Z_score_p6S_Falcon_Churn_inv,1.8726490984000002
Z_score_p9S_Falcon_Revenue_inv,1.8757674690000001
Z_score_p1N_Tortoise_Closing,1.87688351
recent_std_Falcon_Closing_inv,1.8825229399999999
Z_score_p5_Falcon_Migrate,1.8838848727142856
Z_score_p8_Falcon_ARPNU_inv,1.888336185
Z_score_p10S_Tortoise_Closing,1.8937929466666665
Z_score_p8N_Falcon_Revenue,1.8940506
Z_score_p7S_Tortoise_Gross,1.896909355
Z_score_p14S,1.8986311133333336
Z_score_p3_Tortoise_Leavers,1.90007925
Z_score_p3_Falcon_ARPEU_inv,1.903500795
Z_score_p1N_Tortoise_Gross,1.9049032520000002
Z_score_p9S_Tortoise_ARPNU,1.90743566
Z_score_p13_Tortoise_ARPNU,1.9084906110000002
Z_score_p3S_Tortoise_Revenue,1.912632503333333
Z_score_p8S_Falcon_ARPEU_inv,1.91271973
Z_score_p0S_Falcon_ARPEU,1.9137646274000002
Z_score_p5S_Falcon_ARPEU_inv,1.9145689899999998
Tortoise_Revenue_inv,1.9162034399999999
Z_score_p1N,1.9179966326774194
Z_score_p6_Falcon_Migrate,1.9225219099999997
Z_score_p5S_Falcon_Revenue,1.9299421300000001
Z_score_p10_Tortoise_ARPNU_inv,1.93115044
Z_score_p4_Falcon_ARPEU,1.9322123825000002
Z_score_p7S_Tortoise_Leavers_inv,1.934007405
recent_ptp_Falcon_Opening,1.93521118
Z_score_p0_Tortoise_Leavers_inv,1.93987328
Z_score_p3S_Tortoise_NetAdds,1.9565465433333333
Z_score_p1S_Tortoise_ARPEU_inv,1.9588257433333336
Z_score_p13S,1.9599791103529411
Z_score_p4_Falcon_Migrate,1.96051186
Falcon_Churn,1.9648090751666665
Z_score_p1S,1.9648244772045458
Z_score_p9N,1.9666224571428572
Z_score_p2N,1.9694221412826085
Z_score_p6N_Falcon_Migrate_inv,1.9703548
Z_score_p1S_Tortoise_ARPNU_inv,1.9825938325
Z_score_p4S_Tortoise_Revenue,1.9880535234
Z_score_p13S_Falcon_Gross,1.9911127100000001
recent_mean_Tortoise_Closing,1.992500686
Z_score_p1N_Tortoise_Opening_inv,1.99284363
recent_std_Tortoise_Migrate,1.9945812200000002
Z_score_p5S_Tortoise_Leavers,1.9990031333333331
Z_score_p5S_Tortoise_Migrate,2.000196098333334
Z_score_p3S_Falcon_Churn,2.0033895075
Z_score_p10S_Tortoise_ARPEU,2.02255726
Z_score_p7S_Tortoise_ARPEU,2.0227367866666666
Z_score_p8_Tortoise_Leavers_inv,2.0233264
Z_score_p10N,2.023457195142857
Z_score_p8N_Tortoise_Gross,2.030685903333333
Z_score_p5_Falcon_Revenue,2.036644143333333
Z_score_p2_Tortoise_ARPEU,2.04077077
Z_score_p4S_Falcon_NetAdds_inv,2.042462586666667
Z_score_p0_Tortoise_Closing_inv,2.04357719
Z_score_p7S_Falcon_Migrate_inv,2.04708743
Z_score_p4N_Tortoise_ARPNU_inv,2.04747009
Z_score_p3_Tortoise_ARPNU_inv,2.0565183774999998
Z_score_p0N_Tortoise_NetAdds,2.06250926
Z_score_p4S_Falcon_ARPNU_inv,2.068632388
Z_score_p6_Falcon_ARPEU,2.0723925433333332
Z_score_p2N_Tortoise_ARPNU,2.0727781800000002
Z_score_p8_Falcon_Migrate,2.0740754
Z_score_p7S_Falcon_ARPEU,2.0759906775
Z_score_p2S_Tortoise_ARPEU,2.077663302875
Z_score_p0_Tortoise_Migrate_inv,2.07769418
Z_score_p0S_Tortoise_ARPNU,2.0924090892105265
Z_score_p5_Tortoise_ARPNU_inv,2.10055161
Z_score_p3N_Tortoise_Leavers,2.10158348
recent_max_Tortoise_Gross,2.1050060950000002
Z_score_p6S_Tortoise_ARPNU,2.10566719
Z_score_p8_Tortoise_Migrate,2.1065968865
Z_score_p7S_Falcon_Migrate,2.1165182
recent_max_Tortoise_Revenue,2.1179710704285712
Z_score_p0N_Falcon_ARPNU_inv,2.11978245
Z_score_p7N_Falcon_Migrate_inv,2.128153325
Z_score_p2S_Falcon_Churn,2.128635577
Z_score_p2N_Falcon_Migrate_inv,2.1331075033333335
Z_score_p1S_Tortoise_ARPEU,2.136682994105263
Z_score_p3S_Tortoise_Opening,2.13807106
Z_score_p10_Tortoise_Opening_inv,2.14893651
Z_score_p1_Tortoise_Migrate,2.1493130899999997
Z_score_p0_Falcon_NetAdds,2.153449438
Z_score_p1N_Falcon_NetAdds,2.153612195
Z_score_p6S_Falcon_ARPEU,2.156832351875
Z_score_p9_Tortoise_ARPNU_inv,2.1581192
recent_std_Tortoise_ARPNU_inv,2.1661474700000003
Z_score_p2N_Falcon_Gross,2.166172506666667
Z_score_p12S_Falcon_Churn_inv,2.16774511
Z_score_p9S_Falcon_Gross_inv,2.16956472
Z_score_p4N_Tortoise_Leavers,2.1736827775
Z_score_p8S_Tortoise_Leavers_inv,2.1766777
Z_score_p2_Tortoise_Leavers,2.19022876
Z_score_p8S_Falcon_NetAdds,2.1903727049999997
Z_score_p7_Tortoise_Revenue_inv,2.19391024
Z_score_p5S_Tortoise_ARPNU_inv,2.20016122
Z_score_p3_Tortoise_NetAdds,2.205929695
Z_score_p6_Tortoise_Opening,2.20661402
Z_score_p13,2.213741927875
Z_score_p12S_Tortoise_NetAdds_inv,2.21461868
Z_score_p3_Falcon_Closing_inv,2.2153244
Z_score_p5_Tortoise_NetAdds,2.21746552
Z_score_p4N_Falcon_NetAdds,2.21774554
Z_score_p3S_Tortoise_ARPEU_inv,2.218958676666667
Z_score_p6_Falcon_Revenue_inv,2.21988678
Z_score_p0_Falcon_Churn,2.2237833874999997
Z_score_p5N_Falcon_Revenue,2.22424316
Z_score_p0N_Falcon_Closing,2.2255217425
Z_score_p7S_Tortoise_NetAdds_inv,2.22609711
Z_score_p6S_Falcon_ARPNU,2.229569435
Z_score_p11N_Tortoise_ARPNU,2.237936795
Z_score_p2S_Tortoise_NetAdds,2.2464665766666667
Z_score_p1N_Falcon_Closing_inv,2.2559493366666667
Z_score_p0N_Tortoise_Opening_inv,2.25779343
Z_score_p0_Falcon_ARPNU,2.2643976500000003
Z_score_p0S_Tortoise_ARPEU_inv,2.2679328242857144
Z_score_p3_Tortoise_Migrate,2.2680757666666667
Z_score_p8_Tortoise_Revenue_inv,2.26937389
Z_score_p1_Tortoise_Revenue,2.27587891
Z_score_p6,2.279924508965517
Z_score_p1S_Tortoise_NetAdds_inv,2.28545958
Z_score_p12S_Falcon_Churn,2.287293435
recent_min_Tortoise_NetAdds_inv,2.289945126666667
Z_score_p3S_Falcon_Churn_inv,2.2916419026000003
Z_score_p3N,2.2934447152812507
Z_score_p2S_Falcon_Migrate,2.2943787571428573
Z_score_p11S_Falcon_NetAdds,2.29471517
Z_score_p0N_Falcon_ARPEU,2.2951070585714284
Z_score_p1_Falcon_ARPNU_inv,2.2990712525
recent_max_Tortoise_ARPEU_inv,2.312129025
Z_score_p3S_Tortoise_Closing,2.31292719
Z_score_p0_Tortoise_Leavers,2.3133800625
Z_score_p2N_Tortoise_Opening,2.31459904
Z_score_p8_Tortoise_Gross,2.31911011
Z_score_p7S_Falcon_ARPNU,2.3241809366
recent_max_Falcon_Churn_inv,2.3286588175
Z_score_p5_Falcon_Gross,2.3335557
Z_score_p1S_Tortoise_Leavers,2.3349895877777778
Z_score_p0N_Tortoise_Migrate,2.33860302
Z_score_p5S_Tortoise_ARPEU_inv,2.34164739
Z_score_p2S_Falcon_Gross,2.3434337619999996
Z_score_p7_Falcon_Gross,2.34703064
Z_score_p5S_Falcon_Opening,2.35333252
Z_score_p11_Falcon_Closing_inv,2.3535409
Z_score_p10S_Tortoise_ARPNU,2.3554157416666666
Z_score_p12S_Tortoise_ARPNU,2.35899353
Z_score_p0N_Falcon_ARPNU,2.359056205
Z_score_p1_Falcon_Migrate_inv,2.3638702036666666
Z_score_p2S_Tortoise_Leavers_inv,2.3642216400000002
recent_max_Falcon_ARPNU_inv,2.370432136666667
Z_score_p1N_Falcon_Gross,2.3774990321666665
Z_score_p6N_Tortoise_Gross_inv,2.38103008
Z_score_p2S_Falcon_Revenue,2.384883405
Z_score_p0N_Tortoise_Leavers_inv,2.389709
Z_score_p1S_Falcon_Revenue,2.3907527475
Z_score_p0N_Tortoise_Leavers,2.4025989775000003
Z_score_p3S_Tortoise_ARPNU,2.407021285
Z_score_p0S_Tortoise_NetAdds,2.412116604857143
Z_score_p13S_Tortoise_Opening,2.417119025
Z_score_p2N_Tortoise_Gross,2.4185439950000003
recent_mean_Falcon_NetAdds,2.4265349700666667
Z_score_p4N_Falcon_NetAdds_inv,2.42894459
Z_score_p9S_Tortoise_Opening,2.429555413333333
Z_score_p4S_Falcon_ARPEU,2.430254935
Z_score_p7S_Falcon_Gross_inv,2.434188843333333
Z_score_p0_Tortoise_ARPEU,2.4364276735555555
Z_score_p1S_Tortoise_ARPNU,2.43800334575
Z_score_p2S_Falcon_ARPNU_inv,2.443766895
Z_score_p6S_Falcon_Gross,2.4452797566666664
Z_score_p9_Falcon_Opening,2.4483540975
Z_score_p2N_Falcon_Churn_inv,2.45330262
Z_score_p5S_Tortoise_ARPEU,2.4539747524999997
Z_score_p0S_Tortoise_ARPEU,2.4606621816129026
Z_score_p1S_Tortoise_Migrate,2.461194209807693
Z_score_p15_Tortoise_ARPNU,2.46221924
Z_score_p3S_Falcon_Gross,2.4764355570000003
Z_score_p3S_Falcon_Closing_inv,2.47823715
Z_score_p6S_Falcon_Revenue_inv,2.488681435
